seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	9545572	9545947	376	*	X001	59014	9545408	9547455	2048	+	0	inside	163	Rrs1
chr1	36068329	36068697	369	*	X003	50785	36068400	36106446	38047	+	0	overlapStart	0	Hs6st1
chr1	39576879	39577387	509	*	X005	67702	39551296	39577405	26110	-	0	inside	17	Rnf149
chr1	82839580	82839893	314	*	X006	15463	82839483	82901182	61700	+	0	inside	96	Agfg1
chr1	86045937	86046297	361	*	X007	72792	86045863	86055456	9594	+	0	inside	73	2810459M11Rik
chr1	87853326	87853717	392	*	X008	227333	87853287	87945180	91894	+	0	inside	38	Dgkd
chr1	92910743	92911274	532	*	X010	108657	92910783	92920841	10059	+	0	overlapStart	0	Rnpepl1
chr1	92910743	92911274	532	*	X010	75995	92908378	92910764	2387	-	0	overlapStart	0	5033417F24Rik
chr1	105990549	105991038	490	*	X011	227449	105990406	106034074	43669	+	0	inside	142	Zcchc2
chr1	105990549	105991038	490	*	X011	635504	105979350	105990282	10933	-	266	upstream	266	Gm7160
chr1	106714171	106714332	162	*	X012	12043	106538178	106714274	176097	-	0	overlapStart	0	Bcl2
chr1	106714460	106714632	173	*	X013	12043	106538178	106714274	176097	-	185	upstream	185	Bcl2
chr1	159232429	159232779	351	*	X014	26374	159232320	159347640	115321	+	0	inside	108	Cop1
chr1	171064682	171064750	69	*	X016	102466998	171064591	171064652	62	-	29	upstream	29	Mir6546
chr1	171064682	171064750	69	*	X016	14131	171051174	171064935	13762	-	0	inside	184	Fcgr3
chr1	171064823	171065105	283	*	X017	102466998	171064591	171064652	62	-	170	upstream	170	Mir6546
chr1	171064823	171065105	283	*	X017	14131	171051174	171064935	13762	-	0	overlapStart	0	Fcgr3
chr1	171065210	171065244	35	*	X018	102466998	171064591	171064652	62	-	557	upstream	557	Mir6546
chr1	171065210	171065244	35	*	X018	14131	171051174	171064935	13762	-	274	upstream	274	Fcgr3
chr1	171065819	171066101	283	*	X019	102466998	171064591	171064652	62	-	1166	upstream	1166	Mir6546
chr1	171065819	171066101	283	*	X019	14131	171051174	171064935	13762	-	883	upstream	883	Fcgr3
chr1	171066173	171066184	12	*	X020	102466998	171064591	171064652	62	-	1520	upstream	1520	Mir6546
chr1	171066173	171066184	12	*	X020	14131	171051174	171064935	13762	-	1237	upstream	1237	Fcgr3
chr1	175492183	175492526	344	*	X021	24012	175059087	175492500	433414	-	0	overlapStart	0	Rgs7
chr1	175492583	175492618	36	*	X022	24012	175059087	175492500	433414	-	82	upstream	82	Rgs7
chr1	182019459	182020228	770	*	X023	13800	181896384	182019990	123607	-	0	overlapStart	0	Enah
chr1	192137764	192138053	290	*	X024	214742	192098546	192138062	39517	-	0	inside	8	Rcor3
chr1	192138131	192138340	210	*	X025	214742	192098546	192138062	39517	-	68	upstream	68	Rcor3
chr10	9900829	9901225	397	*	X027	78808	9755547	9901079	145533	-	0	overlapStart	0	Stxbp5
chr10	11281395	11281718	324	*	X028	71865	11281330	11298052	16723	+	0	inside	64	Fbxo30
chr10	18055339	18056166	828	*	X031	19707	18055861	18125155	69295	+	0	overlapStart	0	Reps1
chr10	19934051	19934644	594	*	X032	26408	19934472	20142753	208282	+	0	overlapStart	0	Map3k5
chr10	21160909	21161284	376	*	X033	17863	21124935	21160984	36050	-	0	overlapStart	0	Myb
chr10	43174320	43174622	303	*	X037	109205	43002500	43174530	172031	-	0	overlapStart	0	Sobp
chr10	43174320	43174622	303	*	X037	74530	43174699	43176562	1864	+	76	upstream	76	9030612E09Rik
chr10	43478866	43479858	993	*	X038	331623	43478831	43515396	36566	+	0	inside	34	Bend3
chr10	61147561	61147961	401	*	X040	20397	61098642	61147703	49062	-	0	overlapStart	0	Sgpl1
chr10	67096431	67097010	580	*	X043	28193	67009189	67096945	87757	-	0	overlapStart	0	Reep3
chr10	67548784	67549163	380	*	X044	211488	67544511	67549068	4558	-	0	overlapStart	0	Ado
chr10	69213082	69213484	403	*	X045	320700	69209762	69213098	3337	-	0	overlapStart	0	A930033H14Rik
chr10	70097206	70097512	307	*	X046	76551	70097121	70193200	96080	+	0	inside	84	Ccdc6
chr10	71347649	71347655	7	*	X048	69718	71347763	71385885	38123	+	107	upstream	107	Ipmk
chr10	71347722	71348089	368	*	X049	69718	71347763	71385885	38123	+	0	overlapStart	0	Ipmk
chr10	74966925	74967540	616	*	X050	14687	74967177	75016907	49731	+	0	overlapStart	0	Gnaz
chr10	75060661	75061468	808	*	X051	110279	75060592	75184921	124330	+	0	inside	68	Bcr
chr10	77417942	77418336	395	*	X054	110532	77290726	77418270	127545	-	0	overlapStart	0	Adarb1
chr10	78352051	78352504	454	*	X055	28169	78269178	78352489	83312	-	0	overlapStart	0	Agpat3
chr10	79682161	79682549	389	*	X056	216150	79682195	79688398	6204	+	0	overlapStart	0	Cdc34
chr10	79716588	79717020	433	*	X057	15166	79716634	79736108	19475	+	0	overlapStart	0	Hcn2
chr10	79766373	79767021	649	*	X058	70294	79758515	79766952	8438	-	0	overlapStart	0	Rnf126
chr10	80387251	80387605	355	*	X060	237400	80380355	80387659	7305	-	0	inside	53	Mex3d
chr10	81559378	81559699	322	*	X062	14797	81559488	81566362	6875	+	0	overlapStart	0	Tle5
chr10	83337264	83337684	421	*	X063	338365	83230848	83337882	107035	-	0	inside	197	Slc41a2
chr10	84533564	84534164	601	*	X064	216197	84526305	84534062	7758	-	0	overlapStart	0	Ckap4
chr10	94944191	94945441	1251	*	X066	54712	94790866	94944835	153970	-	0	overlapStart	0	Plxnc1
chr10	95563683	95564033	351	*	X067	71207	95547007	95564146	17140	-	0	inside	112	Nudt4
chr10	98914509	98915509	1001	*	X068	67972	98914406	99026143	111738	+	0	inside	102	Atp2b1
chr10	117845681	117846039	359	*	X069	215449	117813871	117846035	32165	-	0	overlapStart	0	Rap1b
chr10	122678875	122679279	405	*	X072	102466884	122679315	122679415	101	+	35	upstream	35	Mir8104
chr10	122678875	122679279	405	*	X072	319468	122678762	122945795	267034	+	0	inside	112	Ppm1h
chr10	127059388	127060185	798	*	X073	216438	127055011	127060184	5174	-	0	overlapStart	0	Marchf9
chr10	127288711	127289062	352	*	X074	110962	127281956	127289018	7063	-	0	overlapStart	0	Mbd6
chr10	127288711	127289062	352	*	X074	13198	127290774	127296288	5515	+	1711	upstream	1711	Ddit3
chr10	127739523	127739875	353	*	X076	320080	127739538	127747349	7812	+	0	overlapStart	0	Zbtb39
chr11	21238814	21239162	349	*	X077	245944	21239281	21321136	81856	+	118	upstream	118	Vps54
chr11	23306975	23307312	338	*	X078	17847	23306895	23490560	183666	+	0	inside	79	Usp34
chr11	30267889	30268217	329	*	X080	20742	30099395	30268169	168775	-	0	overlapStart	0	Sptbn1
chr11	30268278	30268436	159	*	X081	20742	30099395	30268169	168775	-	108	upstream	108	Sptbn1
chr11	32347646	32347981	336	*	X082	268396	32347820	32428173	80354	+	0	overlapStart	0	Sh3pxd2b
chr11	49712346	49712658	313	*	X083	104625	49671503	49712723	41221	-	0	inside	64	Cnot6
chr11	52167884	52168146	263	*	X084	257871	52154722	52168159	13438	-	0	inside	12	Olfr1372-ps1
chr11	52168235	52168596	362	*	X085	257871	52154722	52168159	13438	-	75	upstream	75	Olfr1372-ps1
chr11	53350513	53350969	457	*	X086	93736	53350833	53421830	70998	+	0	overlapStart	0	Aff4
chr11	60105026	60105589	564	*	X088	19377	60105013	60199197	94185	+	0	inside	12	Rai1
chr11	60417294	60417680	387	*	X090	66771	60417145	60450927	33783	+	0	inside	148	Gid4
chr11	69368783	69369216	434	*	X094	216848	69343273	69369406	26134	-	0	inside	189	Chd3
chr11	69935641	69936217	577	*	X095	53422	69935796	69941605	5810	+	0	overlapStart	0	Ybx2
chr11	73018797	73019224	428	*	X097	100043309	73015856	73018841	2986	-	0	overlapStart	0	4732414G09Rik
chr11	73018797	73019224	428	*	X097	55984	73019008	73042073	23066	+	0	overlapStart	0	Camkk1
chr11	77493589	77493894	306	*	X101	216963	77493562	77507786	14225	+	0	inside	26	Git1
chr11	78165311	78165571	261	*	X102	22032	78158499	78165589	7091	-	0	inside	17	Traf4
chr11	79591018	79591414	397	*	X103	268451	79591212	79698023	106812	+	0	overlapStart	0	Rab11fip4
chr11	80300904	80301281	378	*	X105	246104	80300912	80355955	55044	+	0	overlapStart	0	Rhbdl3
chr11	88099148	88099624	477	*	X106	103841	88099146	88194140	94995	+	0	inside	1	Cuedc1
chr11	93996046	93996326	281	*	X107	70834	93996091	94126085	129995	+	0	overlapStart	0	Spag9
chr11	93995858	93995904	47	*	X108	70834	93996091	94126085	129995	+	186	upstream	186	Spag9
chr11	95514507	95514598	92	*	X109	104079	95509845	95514570	4726	-	0	overlapStart	0	Nxph3
